,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,donner,give
34,type,type
35,leurs,their
36,train,train
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,mis,placed
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
69,mari,husband
70,cause,cause
71,enfin,finally
72,espère,hope
73,eau,water
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,chérie,sweetheart
84,gros,large
85,plutôt,rather
86,aura,will have
87,jouer,to play
88,bureau,office
